order_id,order_number,shipping_date,order_date,order_status,order_total,total_price,address_id,customer_id
0,0,2024-10-12,2024-11-01,completed,1,1052000.0,1,1
1,1,2024-02-01,2024-09-29,completed,1,2035000.0,4,1
2,2,2024-05-17,2024-06-13,completed,1,17844000.0,2,3
3,3,2024-06-06,2024-10-23,completed,1,3936000.0,3,2
4,4,2024-05-30,2024-06-18,completed,1,1308000.0,2,2
5,5,2024-06-24,2024-10-09,completed,1,635000.0,3,1
6,6,2024-03-13,2024-07-05,completed,1,2934000.0,3,1
7,7,2024-07-14,2024-11-12,completed,1,6612000.0,3,2
8,8,2024-02-08,2024-06-01,completed,1,2376900.0,4,2
9,9,2024-04-27,2024-07-30,completed,1,5763000.0,2,2
10,10,2024-10-09,2024-11-03,completed,1,21190000.0,1,1
11,11,2024-07-22,2024-07-31,cancelled,1,6630000.0,4,2
12,12,2024-08-23,2024-10-06,completed,1,18777000.0,3,3
13,13,2024-02-15,2024-07-19,completed,1,4158000.0,2,2
14,14,2024-03-01,2024-10-30,completed,1,1052000.0,3,1
15,15,2024-09-19,2024-11-13,completed,1,7347000.0,3,1
16,16,2024-01-25,2024-10-28,cancelled,1,1811000.0,1,3
17,17,2024-11-03,2024-11-11,completed,1,25806000.0,3,3
18,18,2024-09-23,2024-10-09,cancelled,1,1785000.0,2,2
19,19,2024-10-02,2024-10-22,completed,1,3240000.0,1,2
20,20,2024-09-22,2024-11-01,completed,1,6924000.0,1,2
21,21,2024-09-30,2024-11-12,completed,1,3764850.0,1,1
22,22,2024-02-23,2024-05-16,completed,1,1331000.0,1,2
23,23,2024-11-10,2024-11-11,completed,1,4176000.0,3,3
24,24,2024-10-11,2024-11-10,completed,1,47658000.0,2,3
25,25,2024-03-31,2024-10-24,completed,1,297000.0,2,3
26,26,2024-10-10,2024-10-11,completed,1,8508000.0,4,2
27,27,2024-02-07,2024-10-26,completed,1,1234000.0,4,1
28,28,2024-11-06,2024-11-10,completed,1,4176000.0,3,3
29,29,2024-11-11,2024-11-11,completed,1,1163000.0,4,3
30,30,2024-10-06,2024-11-08,completed,1,1418000.0,2,1
31,31,2024-01-11,2024-08-08,completed,1,4890000.0,2,3
32,32,2024-04-08,2024-07-04,cancelled,1,1316700.0,3,3
33,33,2024-03-25,2024-09-30,cancelled,1,2698000.0,3,3
34,34,2024-07-22,2024-09-04,completed,1,31770000.0,4,2
35,35,2024-02-29,2024-06-04,completed,1,5292000.0,1,2
36,36,2024-09-02,2024-11-08,completed,1,4335000.0,1,1
37,37,2024-09-06,2024-10-03,completed,1,34118000.0,1,2
38,38,2024-02-20,2024-08-18,completed,1,993000.0,2,1
39,39,2024-08-19,2024-09-23,cancelled,1,5851000.0,1,1
40,40,2024-09-09,2024-10-09,completed,1,1653000.0,4,1
41,41,2024-11-07,2024-11-12,completed,1,1630000.0,2,3
