review_id,review_content,review_rating,review_date,product_id,customer_id
0,"не так полно листьев, как на фото, но мне удалось подогнать их все к щели в заборе, которую я хотел лучше скрыть, и это работает отлично",5,2024-09-12,181353,1
1,"Я не знаю, то ли я не понял размеры, то ли вам дали ложную рекламу. Я хотел украсить стену во внутреннем дворике, но она слишком мала.",1,2024-10-02,181353,2
2,A l'air sympa mais taille incorrecte selon les deux mesures données dans l'annonce. Demander un remboursement/retour.,3,2024-10-24,181353,4
3,非常漂亮我喜欢我会要求更多,5,2024-08-02,181353,2
4,"निराश हूं, कीमत उचित नहीं है।",3,2024-08-23,193266,3
5,"Je suis déçu de ce produit, il ne vaut pas son prix.",3,2024-08-12,193266,2
6,"Produk ini murah tetapi mempunyai kualiti yang rendah, yang membuatkan saya tidak berpuas hati.",4,2024-09-27,193266,1
7,सस्ती कीमत आकर्षित करती है लेकिन निम्न गुणवत्ता मुझे असंतुष्ट बनाती है।,3,2024-09-16,193266,4
8,"Des prix abordables constituent un avantage, mais la mauvaise qualité des produits doit être rapidement améliorée pour ne pas affecter la confiance des clients.",3,2024-09-22,193266,1
9,"The product price is suitable for the majority of consumers, quite reasonable.",3,2024-10-09,193266,1
10,이 제품은 가격은 경쟁력이 있지만 품질이 특별히 뛰어난 것은 아닙니다.,4,2024-10-24,193266,2
11,이 제품의 가격은 제공하는 품질이 좋지 않습니다.,4,2024-08-25,193266,3
12,Este precio realmente supera mis expectativas sobre el valor que ofrece el producto; vale la pena comprarlo.,4,2024-10-11,193266,2
13,该产品价格低廉，但质量同样较低。,4,2024-09-08,193266,1
14,उम्मीदों पर खरा नहीं उतरा.,4,2024-09-24,193266,4
15,Dieses Produkt ist preisgünstig und eine Investition wert.,4,2024-10-02,193266,3
16,"너무 비싸지도, 그렇다고 저렴하지도 않은 적당한 가격으로 가격과 품질의 균형을 원하는 소비자에게 적합한 제품입니다.",4,2024-08-18,193266,4
17,ราคานี้ไม่ได้เน้นผลิตภัณฑ์นี้ในกลุ่มของตน แต่เพียงพอที่จะรักษาตำแหน่งเฉลี่ยในตลาดได้,3,2024-08-03,193266,3
18,"המחיר של המוצר הזה לא הופך אותו למצטיין, רק מספיק כדי לשמור על מיקום בינוני בפלח.",3,2024-08-08,193266,1
19,המוצר במחיר נמוך אך אינו עומד בציפיות לגבי איכות.,3,2024-08-02,193266,2
20,"Este precio es relativamente razonable, aunque el producto no es sobresaliente.",4,2024-10-21,193266,3
21,Ucuz fiyat çekici ama ürün kalitesinin düşük olması beni tatminsiz bırakıyor.,3,2024-10-20,193266,3
22,이 제품의 가격은 해당 제품이 제공하는 가치를 정확하게 반영합니다.,4,2024-10-11,193266,4
23,"El precio de este producto es mediocre, no especialmente atractivo en comparación con la calidad que ofrece.",4,2024-08-17,193266,3
24,이 제품의 가격은 평균으로 간주되며 제공된 품질에 적합하지만 사용자에게 완전한 만족을 가져다주지는 않습니다.,4,2024-10-08,193266,2
